Table : Percent distribution of setting type according to diagnosis group, by surgical specialty offices, in United States, 2006–2007

Diagnosis group                                                        | Percent
--------------------------------------------------------------------------------
All  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 16.1
Infectious and parasitic diseases. . . . . . . . . . . . . . . . . . . |  3.7
   Streptococcal sore throat . . . . . . . . . . . . . . . . . . . . . | 
   Human immunodeficiency virus disease (HIV). . . . . . . . . . . . . | 
   Viral warts . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Unspecified viral and chlamydial infection. . . . . . . . . . . . . | 
   Dermatophytosis . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Candidiasis . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Other infectious and parasitic diseases . . . . . . . . . . . . . . |  7.9
Neoplasms. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 21.5
   Malignant neoplasms of colon and rectum . . . . . . . . . . . . . . | 17.0
   Malignant neoplasm of skin. . . . . . . . . . . . . . . . . . . . . | 10.0
   Malignant neoplasm of breast. . . . . . . . . . . . . . . . . . . . | 14.2
   Malignant neoplasm of prostate. . . . . . . . . . . . . . . . . . . | 63.2
   Malignant neoplasm of lymphatic and hematopoietic tissue. . . . . . | 
   Other malignant neoplasms . . . . . . . . . . . . . . . . . . . . . | 22.9
   Benign neoplasm of skin . . . . . . . . . . . . . . . . . . . . . . | 
   Other benign neoplasm . . . . . . . . . . . . . . . . . . . . . . . | 27.4
   Neoplasm of uncertain behavior and unspecified nature . . . . . . . | 23.7
Endocrine, nutritional and metabolic diseases, immunity disorders. . . | 11.5
   Acquired hypothyroidism . . . . . . . . . . . . . . . . . . . . . . | 
   Other disorders of thyroid gland. . . . . . . . . . . . . . . . . . | 19.5
   Diabetes mellitus . . . . . . . . . . . . . . . . . . . . . . . . . | 15.9
   Disorders of lipoid metabolism. . . . . . . . . . . . . . . . . . . | 
   Obesity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 20.1
   Other endocrine, nutritional/metabolic diseases, immunity disorders |  5.8
Diseases of the blood and blood-forming organs . . . . . . . . . . . . | 
   Anemias . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Other diseases of the blood and blood-forming organs. . . . . . . . | 
Mental disorders . . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Schizophrenic disorders . . . . . . . . . . . . . . . . . . . . . . | 
   Major depressive disorder . . . . . . . . . . . . . . . . . . . . . | 
   Other psychoses . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Anxiety states. . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Neurotic depression . . . . . . . . . . . . . . . . . . . . . . . . | 
   Alcohol dependence syndrome . . . . . . . . . . . . . . . . . . . . | 
   Drug dependence and nondependent abuse of drugs . . . . . . . . . . | 
   Acute reaction to stress and adjustment reaction. . . . . . . . . . | 
   Depressive disorder, not elsewhere classified . . . . . . . . . . . | 
   Attention deficit disorder. . . . . . . . . . . . . . . . . . . . . | 
   Other mental disorders. . . . . . . . . . . . . . . . . . . . . . . | 
Diseases of the nervous system and sense organs. . . . . . . . . . . . | 48.4
   Migraine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 12.8
   Other disorders of the central nervous system . . . . . . . . . . . |  8.8
   Carpal tunnel syndrome. . . . . . . . . . . . . . . . . . . . . . . | 35.4
   Other disorders of the peripheral nervous system. . . . . . . . . . | 15.3
   Retinal detachment and other retinal disorders. . . . . . . . . . . | 94.1
   Glaucoma. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 97.3
   Cataract. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 95.6
   Disorders of refraction and accommodation . . . . . . . . . . . . . | 88.1
   Conjunctivitis. . . . . . . . . . . . . . . . . . . . . . . . . . . | 17.1
   Disorder of eyelids . . . . . . . . . . . . . . . . . . . . . . . . | 66.0
   Other disorders of the eye and adnexa . . . . . . . . . . . . . . . | 77.8
   Disorders of external ear . . . . . . . . . . . . . . . . . . . . . | 31.0
   Otitis media and eustachian tube disorders. . . . . . . . . . . . . | 13.2
   Other disorders of the ear and mastoid process. . . . . . . . . . . | 46.2
Diseases of the circulatory system . . . . . . . . . . . . . . . . . . |  5.0
   Angina pectoris . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Coronary atherosclerosis. . . . . . . . . . . . . . . . . . . . . . | 
   Other ischemic heart disease. . . . . . . . . . . . . . . . . . . . | 
   Cardiac dysrhythmias. . . . . . . . . . . . . . . . . . . . . . . . | 
   Congestive heart failure. . . . . . . . . . . . . . . . . . . . . . | 
   Other heart disease . . . . . . . . . . . . . . . . . . . . . . . . | 
   Essential hypertension. . . . . . . . . . . . . . . . . . . . . . . | 
   Cerebrovascular disease . . . . . . . . . . . . . . . . . . . . . . | 17.1
   Diseases of the arteries, arterioles and capillaries. . . . . . . . | 41.7
   Hemorrhoids . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 31.8
   Other diseases of the circulatory system. . . . . . . . . . . . . . | 22.8
Diseases of the respiratory system . . . . . . . . . . . . . . . . . . |  5.2
   Acute sinusitis . . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Acute pharyngitis . . . . . . . . . . . . . . . . . . . . . . . . . | 
   Acute tonsillitis . . . . . . . . . . . . . . . . . . . . . . . . . | 
